loss	cls_a	cls_b
0.0021965665	{'case'}	{'subject'}
0.0026691395	{'cannot'}	{'may'}
0.0026748092	{'individuals'}	{'structure'}
0.0034794004	{'It'}	{'there'}
0.0036556391	{'even'}	{'less'}
0.0036909506	{'nature'}	{'variation'}
0.0038977959	{'see'}	{'shall'}
0.0039056391	{'short'}	{'slight'}
0.0039921568	{'certain'}	{'distinct'}
0.0042414093	{'manner'}	{'such'}
0.0042987949	{'differ'}	{'what'}
0.0044564356	{')'}	{'cases'}
0.0044780269	{'me'}	{'only'}
0.0045129278	{'can'}	{'must'}
0.0045402042	{'how'}	{'nearly'}
0.0045635471	{'domestic'}	{'domesticated'}
0.0046829711	{'races'}	{'varieties'}
0.0047628324	{'if'}	{'when'}
0.0048728052	{'('}	{'than'}
0.0049492035	{'believe'}	{'do'}
0.0051255480	{'great'}	{'my'}
0.0053717972	{'breeds'}	{'state'}
0.0056006484	{'could'}	{'will'}
0.0056896400	{'facts'}	{'plants'}
0.0057552678	{':'}	{'between'}
0.0058112781	{'different'}	{'its'}
0.0059756818	{'In'}	{'The'}
0.0063407180	{'each'}	{'these'}
0.0068403558	{'many'}	{'most'}
0.0068532012	{'often'}	{'very'}
0.0072242472	{'long'}	{'much'}
0.0074370763	{'an'}	{'any'}
0.0075385318	{'they'}	{'we'}
0.0084288924	{'but'}	{'so'}
0.0085449627	{'conditions'}	{'wild'}
0.0097193604	{'one'}	{'other'}
0.0098438258	{'all'}	{'their'}
0.0103550994	{'more'}	{'would'}
0.0109280753	{'animals'}	{'at'}
0.0110549925	{'our'}	{'several'}
0.0128618444	{'for'}	{'under'}
0.0143420305	{'some'}	{'this'}
0.0148445584	{'structure', 'individuals'}	{'species'}
0.0149823596	{'has'}	{'with'}
0.0160459692	{'subject', 'case'}	{'same'}
0.0162945255	{'there', 'It'}	{'it'}
0.0166421131	{'less', 'even'}	{'on'}
0.0168569219	{'what', 'differ'}	{'or'}
0.0172980941	{'cases', ')'}	{'not'}
0.0184809069	{'been'}	{'such', 'manner'}
0.0185644627	{'by'}	{'how', 'nearly'}
0.0194992126	{'believe', 'do'}	{'have'}
0.0196058311	{'(', 'than'}	{'are'}
0.0202321974	{'as'}	{'which'}
0.0207254771	{';'}	{'slight', 'short'}
0.0212025691	{'be'}	{'only', 'me'}
0.0225859455	{'a'}	{'certain', 'distinct'}
0.0236777771	{'from'}	{'see', 'shall'}
0.0242688066	{'state', 'breeds'}	{'variation', 'nature'}
0.0256979796	{'I'}	{'often', 'very'}
0.0261445826	{':', 'between'}	{'is'}
0.0281347388	{'when', 'if'}	{'that'}
0.0292089745	{'and'}	{'so', 'but'}
0.0294035578	{'each', 'these'}	{'the'}
0.0310076903	{'must', 'can'}	{'to'}
0.0313540183	{'great', 'my'}	{'in'}
0.0332552017	{'.'}	{'its', 'different'}
0.0339379568	{'such', 'been', 'manner'}	{'varieties', 'races'}
0.0375097370	{','}	{'facts', 'plants'}
0.0385969021	{'any', 'an'}	{'most', 'many'}
0.0406709506	{'domestic', 'domesticated'}	{'would', 'more'}
0.0418144478	{'much', 'long'}	{'of'}
0.0438760018	{'facts', ',', 'plants'}	{'cannot', 'may'}
0.0456463875	{'how', 'by', 'nearly'}	{'see', 'shall', 'from'}
0.0457156104	{';', 'slight', 'short'}	{'wild', 'conditions'}
0.0480189766	{'often', 'I', 'very'}	{'will', 'could'}
0.0484632674	{'distinct', 'certain', 'a'}	{'one', 'other'}
0.0488178431	{'not', 'cases', ')'}	{'its', '.', 'different'}
0.0508021087	{',', 'may', 'facts', 'plants', 'cannot'}	{'at', 'animals'}
0.0527400650	{'only', 'be', 'me'}	{'varieties', 'such', 'been', 'manner', 'races'}
0.0589034095	{'their', 'all'}	{'several', 'our'}
0.0617959019	{'at', ',', 'may', 'facts', 'plants', 'cannot', 'animals'}	{'state', 'nature', 'variation', 'breeds'}
0.0552616204	{'state', ',', 'may', 'nature', 'cannot', 'animals', 'breeds', 'at', 'variation', 'facts', 'plants'}	{'structure', 'individuals', 'species'}
0.0658567651	{'state', ',', 'may', 'species', 'nature', 'structure', 'cannot', 'animals', 'individuals', 'breeds', 'at', 'variation', 'facts', 'plants'}	{'subject', 'case', 'same'}
0.0675520994	{';', 'slight', 'short', 'conditions', 'wild'}	{'In', 'The'}
0.0682747955	{'under', 'for'}	{'has', 'with'}
0.0705633383	{'and', 'so', 'but'}	{'they', 'we'}
