x1,x2,pmu
Hamburger,SV,14.28894391532341
Los,Angeles,14.06243538551473
Johna,Newcomba,13.762875103655821
Č.,Budějovice,13.633592086710856
série,ATP,13.468961384938057
turnajové,série,13.434404162901687
Tomáš,Ježek,13.428974367102384
Lidové,noviny,13.329915696379715
Lidových,novin,13.271022007326147
veřejného,mínění,13.06243538551473
teplota,minus,12.981515390131163
Ján,Čarnogurský,12.955520181598217
jaderné,zbraně,12.955520181598217
Milan,Máčala,12.89780468374193
lidských,práv,12.862870893632543
společném,státě,12.708427319633445
akciových,společností,12.692485775764423
Pohár,UEFA,12.625371579905886
privatizačních,projektů,12.615670178713593
George,Bushe,12.603003766877432
