x1,x2,pmu
dried,floated,14.432398354485896
floated,dried,14.262473353043582
dried,germinated,13.972966735848598
floated,germinated,13.932324751351251
avicularia,vibracula,13.928355849148305
dried,dried,13.917825181656136
eastern,Pacific,13.91638320748223
stripe,shoulder,13.831494309895717
floated,floated,13.806793869267393
layer,hexagonal,13.780321657906201
survival,fittest,13.754326449373258
dried,days,13.71250627367863
heath,heath,13.675375107978436
dimorphic,trimorphic,13.675375107978436
geese,webbed,13.642818134156267
clover,clover,13.640984976297313
floated,days,13.635027521000913
germinated,dried,13.557929236569754
slaves,masters,13.52484460325049
baleen,whale,13.513318349869463
