x1,x2,pmu
floated,dried,15.349936194293921
dried,floated,15.349936194293921
dried,dried,14.917825181656136
floated,floated,14.806793869267393
dried,germinated,14.780321657906201
germinated,dried,14.780321657906201
heath,heath,14.675375107978436
floated,germinated,14.648531785350661
germinated,floated,14.648531785350661
clover,clover,14.640984976297313
eastern,Pacific,14.501345708203386
Pacific,eastern,14.501345708203386
avicularia,vibracula,14.468924230511009
vibracula,avicularia,14.468924230511009
cave,cave,14.432398354485894
dried,days,14.432398354485894
days,dried,14.432398354485894
metamorphosed,metamorphosed,14.432398354485894
heads,heads,14.420425712819819
stripe,shoulder,14.416456810616873
