x1,x2,pmu
výher,výher,15.470093354427975
žel,žel,14.750902461989746
Bělehrad,Benfica,14.566477890852319
h,teplota,14.514947590212236
13h,13h,14.501802214155314
ODÚ,VPN,14.44094700876846
Sandžaku,Sandžaku,14.44094700876846
Petrof,Petrof,14.400305024271113
13h,zataženo,14.237291150013597
výher,IV,14.218554587432012
Atény,Benfica,14.196528281102012
13h,skoro,14.161971059065644
Benfica,Bělehrad,14.151440391573475
CIA,CIA,14.119018913881098
vychází,h,14.099910090933392
13h,st,14.084803198543185
pořadí,výher,14.070997399018154
Bělehrad,Kyjev,14.053923885659213
IFS,IFS,14.052381720850807
km,žel,14.04968689277274
