x1,x2,pmu
výher,výher,16.470093354427977
žel,žel,15.750902461989746
13h,13h,15.501802214155314
Sandžaku,Sandžaku,15.44094700876846
Petrof,Petrof,15.400305024271113
Bělehrad,Benfica,15.373832812909923
Benfica,Bělehrad,15.373832812909923
CIA,CIA,15.119018913881098
IFS,IFS,15.052381720850807
13h,zataženo,14.983534557767815
zataženo,13h,14.983534557767815
Atény,Benfica,14.955520181598217
Benfica,Atény,14.955520181598217
výher,IV,14.955520181598217
IV,výher,14.955520181598217
13h,skoro,14.93690450343087
skoro,13h,14.93690450343087
39,39,14.914878197100872
Bělehrad,Atény,14.88151960015444
Atény,Bělehrad,14.88151960015444
